Nombre producto,Marca,Precio reportado,Precio total
AZUCAR RIOPAILA BLANCA NATURAL X 1KG,RIOPAILA,2775,59932.28799292857
ARROZ BLANCO DIANA X1.000G,DIANA,3100,59932.28799292857
ARROZ BLANCO DIANA X500G,DIANA,1567.5,59932.28799292857
AZUCAR RIOPAILA MORENA X1KG,RIOPAILA,2820,59932.28799292857
ARROZ DIANA VITAMOR X3000G,DIANA,9628.18539325,59932.28799292857
ALCOHOL MK ANTISEPTICO X700ML,MK,4756.646248571429,59932.28799292857
HUEVOS TIPO AA CAJA X 12un,DEL CANASTO,3990,59932.28799292857
ARROZ DIANA VITAMOR X5000G,DIANA,16039.896272857144,59932.28799292857
HUEVOS ORO A X 30 AMARRADO,HUEVOS ORO,8290,59932.28799292857
AZUCAR PROVIDENCIA X2500G,PROVIDENCIA,6965.0600782500005,59932.28799292857
